	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000024422_EHD2	4016	3242	3455	2583	2856	3535
ENSG00000024526_DEPDC1	2009.91	1390.86	1387	1013	1356.96	1501.93
ENSG00000024862_CCDC28A	293	281	248	241	197	266
ENSG00000025039_RRAGD	5	1	9	2	3	0
ENSG00000025156_HSF2	521	366	492	431	428	483
ENSG00000025293_PHF20	1145.41	1047.49	1103.52	1111.18	948.69	1207.75
ENSG00000025423_HSD17B6	20	2	12	5	9	2
ENSG00000025434_NR1H3	220	449	222	340	144	420
ENSG00000025708_TYMP	324.6	287	488.63	324.25	446.76	275
ENSG00000025770_NCAPH2	961	852	987	689	775	1004
ENSG00000025772_TOMM34	2295	3396	2001	2506	2082	3998
ENSG00000025796_SEC63	3194.92	3055.86	4148.12	4265.28	3388.97	4337.8
ENSG00000025800_KPNA6	3190.88	3217.45	2906.73	3230	2197	3579.29
ENSG00000026025_VIM	73347.86	39700.26	54502.74	26805.68	44551.06	41635
ENSG00000026036_RTEL1-TNFRSF6B	126.53	249.8	156.53	124.4	141.73	206.31
ENSG00000026103_FAS	469.6	700.83	419.28	572.72	302.59	731.3
ENSG00000026297_RNASET2	68	112.93	78	80	32	111.57
ENSG00000026508_CD44	10757	9055	8825	5712	6804	9370
ENSG00000026559_KCNG1	650.85	479.17	793.01	513.46	1054.5	601
ENSG00000026652_AGPAT4	1160	695	1114	785	623	700
ENSG00000026751_SLAMF7	32	1	19	2	20	4
ENSG00000026950_BTN3A1	391.07	681.7	391.42	370.38	196.54	512.64
ENSG00000027001_MIPEP	447	592	388	509	316	645
ENSG00000027075_PRKCH	918.65	515	726.56	307.01	872.56	528.47
ENSG00000027644_INSRR	0	0	0	0	0	0
ENSG00000027697_IFNGR1	2952	2298	2244	1313	1702	2254
ENSG00000027847_B4GALT7	362	621	418	662	468	808
ENSG00000027869_SH2D2A	0	3	0	2	0	0
ENSG00000028116_VRK2	1040.22	692.39	811.86	633.1	954.16	924.42
ENSG00000028137_TNFRSF1B	573	1346	631	1109	422	1343
ENSG00000028203_VEZT	1556	1597	1407	1474.8	1473	2163.86
ENSG00000028277_POU2F2	1	1	4	2	6	7
ENSG00000028310_BRD9	2823.18	3136	3434	2978.29	2587.55	3619.64
ENSG00000028528_SNX1	2242	1841	2296	1727	1666	2012
ENSG00000028839_TBPL1	281.5	245.75	199	125	184	196.83
ENSG00000029153_ARNTL2	508	572	445	472	400	604
ENSG00000029363_BCLAF1	4389	3273	4431	3334	3312	3993
ENSG00000029364_SLC39A9	1381.01	978	1488	1005	1043	1225
ENSG00000029534_ANK1	213	72	119	15	55	47
ENSG00000029559_IBSP	0	0	0	0	0	0
ENSG00000029639_TFB1M	391	288	301	210	346	314
ENSG00000029725_RABEP1	1695.69	2224	1444	1942.38	1318	2684
ENSG00000029993_HMGB3	1091	650	1069	530	533	689
ENSG00000030066_NUP160	2388	2735	2510	2571	1780	3036
ENSG00000030110_BAK1	1092	2044	874.99	1584	1036	2328
ENSG00000030304_MUSK	0	1	0	0	0	0
ENSG00000030419_IKZF2	255	192	179	107	219	214
ENSG00000030582_GRN	2096	4139	2651	4041	1645	4485
ENSG00000031003_FAM13B	776	1095	752	1112	1075	1681
ENSG00000031081_ARHGAP31	405	403	354	307	327	418
ENSG00000031691_CENPQ	229	115	222	97	155	189
ENSG00000031698_SARS	6759	8442	5834	7742	6766	9881
ENSG00000031823_RANBP3	1155	1103	1116	1026	959	1274
ENSG00000032219_ARID4A	461	381	378	333	344	399
ENSG00000032389_TSSC1	672	770	605	577	594	860
ENSG00000032444_PNPLA6	1031	898	930	575	567	669
ENSG00000032742_IFT88	200	198	204.01	168.09	154	250.01
ENSG00000033011_ALG1	723.54	950.71	736.71	777.02	496.45	983.02
ENSG00000033030_ZCCHC8	1234	1216	957.98	1141.26	1076	1400
ENSG00000033050_ABCF2	4779	5620	4695	6054	4352	7524
ENSG00000033100_CHPF2	689	978	1238	1452	456	1235
ENSG00000033122_LRRC7	35	6	18	1	25	0
ENSG00000033170_FUT8	424.87	248.46	333.17	154.75	165.16	170.21
ENSG00000033178_UBA6	1994	2276	2075	2254	1890	2888
ENSG00000033327_GAB2	171	36	125	41	142	48
ENSG00000033627_ATP6V0A1	1282	1351	1436	1414	860	1345.9
ENSG00000033800_PIAS1	782.28	597.28	777.63	674.48	567.15	681.6
ENSG00000033867_SLC4A7	1590	1366	1477	1327	1738	1755
ENSG00000034053_APBA2	762	388	666	329	643	438
ENSG00000034152_MAP2K3	920	1625	838	1236	804	1955
ENSG00000034239_EFCAB1	0	0	0	0	0	0
ENSG00000034510_TMSB10	35543	27801	32077	26215	24363	29164
ENSG00000034533_ASTE1	185.56	162.37	169.17	114.49	143.74	140.01
ENSG00000034677_RNF19A	715.81	407	567	402	589	549
ENSG00000034693_PEX3	347	321	429	359	279	455
ENSG00000034713_GABARAPL2	949	935	737	800	464	828
ENSG00000034971_MYOC	0	0	0	0	0	0
ENSG00000035115_SH3YL1	146	196	229	196	155	229
ENSG00000035141_FAM136A	1532	1611	1630	1316	1318	1810
ENSG00000035403_VCL	3942.91	1818.74	3064.77	965.37	1865.47	1352.08
ENSG00000035499_DEPDC1B	970	512	831	324	535	519
ENSG00000035664_DAPK2	7	3	10.03	5.97	3.66	3
ENSG00000035681_NSMAF	2110	1418	2023	1134	2094	1717
ENSG00000035687_ADSS	1754	1652	1544	1400	1442	1851
ENSG00000035720_STAP1	1	0	0	0	1	0
ENSG00000035862_TIMP2	6223.97	2281.52	5726.22	1755	3387.15	1902.6
ENSG00000035928_RFC1	2516	3316	2427	2943	2372	3955
ENSG00000036054_TBC1D23	523	435	434	399	362	460
ENSG00000036257_CUL3	2156	1759	2014	1917	1642	2172
ENSG00000036448_MYOM2	3	1	5	1	1	2
ENSG00000036473_OTC	0	1	0	2	1	0
ENSG00000036530_CYP46A1	4	2	9	0	2	3
ENSG00000036549_ZZZ3	2110	2354	1390	1863	1829	2708
ENSG00000036565_SLC18A1	0	0	0	0	0	0
ENSG00000036672_USP2	115	18	132	46	87	33
ENSG00000036828_CASR	0	0	0	0	0	0
ENSG00000037042_TUBG2	458.24	256.07	443.15	197.31	389.56	305.7
ENSG00000037241_RPL26L1	542	639	519	712	441	787
ENSG00000037280_FLT4	1	6	3	2	0	5
ENSG00000037474_NSUN2	5684	6102	6156	5719	4753	7326
ENSG00000037637_FBXO42	770	939	707	960	840.03	1075
ENSG00000037749_MFAP3	803	801	776	855	543	870
ENSG00000037757_MRI1	564.34	401.24	556.96	265.11	316.58	357.23
ENSG00000037897_METTL1	648	718	633.85	581	474	802
ENSG00000037965_HOXC8	249	248	246	198	218	290
ENSG00000038002_AGA	124	149	125	89	120	152
ENSG00000038210_PI4K2B	392.38	477.09	348.86	364.69	351.02	695.4
ENSG00000038219_BOD1L1	1502	1595	1546	1920	1186	1900.3
ENSG00000038274_MAT2B	1555	1707	1125	1129	1004	1608
ENSG00000038295_TLL1	495	294	496	183	317	288
ENSG00000038358_EDC4	1861.34	2461.15	1892.9	2174.8	1489.61	2576.29
ENSG00000038382_TRIO	7820	4290	6883	4356	7900	6002
ENSG00000038427_VCAN	377	32	352	25	238	12
ENSG00000038532_CLEC16A	781	720	720	782	598	884
ENSG00000038945_MSR1	5	0	6	0	4	0
ENSG00000039068_CDH1	0	0	1	0	0	0
ENSG00000039123_SKIV2L2	5319.48	4517.61	4791.5	4032.02	4553.55	5461.43
ENSG00000039139_DNAH5	65	42	47	11	32	27
ENSG00000039319_ZFYVE16	870.2	693.54	922.1	650.43	687.92	733.14
ENSG00000039523_FAM65A	2534	2704	2495	2417	2451.73	3288
ENSG00000039537_C6	0	0	0	0	0	0
ENSG00000039560_RAI14	3689	3358	3329	3096	3630	4096
ENSG00000039600_SOX30	0	1	1	0	0	0
ENSG00000039650_PNKP	339	455	383	339	302	450
ENSG00000039987_BEST2	4	9	4	71	4	14
ENSG00000040199_PHLPP2	796.79	665	763.79	782.39	529	810.17
ENSG00000040275_SPDL1	2233	1314	1901	1124	1913	1746
ENSG00000040341_STAU2	592.49	410.17	497.16	322.18	306.84	388.94
ENSG00000040487_PQLC2	211	322	276	336	198	357
ENSG00000040531_CTNS	253	377	249	307	176	332
ENSG00000040608_RTN4R	3	4	4	1	2	2
ENSG00000040633_PHF23	973	1638	891	1287	803	1729
ENSG00000040731_CDH10	1	0	1	0	2	0
ENSG00000040933_INPP4A	651	427	504	396	445	483
ENSG00000041353_RAB27B	524	436	344	312	292	365
ENSG00000041357_PSMA4	3080	2479	2673	1773	1930	2605
ENSG00000041515_MYO16	2	3	0	1	0	1
ENSG00000041802_LSG1	2555	2939	2527	2877	2153	3365
ENSG00000041880_PARP3	312	421	416	401	390	569
ENSG00000041982_TNC	10213	1136	9702	1275	10614	1554
ENSG00000041988_THAP3	375.27	542.68	240.17	377.07	328.61	562.2
ENSG00000042062_FAM65C	5	0	5.46	7	2.25	1
ENSG00000042088_TDP1	531	495	544	382	318	552
ENSG00000042286_AIFM2	959	1201	1026	1222	969	1352
ENSG00000042304_C2orf83	3	0	0	1	0	0
ENSG00000042317_SPATA7	88.24	87	48	52	44	64
ENSG00000042429_MED17	629.03	580	773	664	448	729.05
ENSG00000042445_RETSAT	2792	2210	2410	1850	1728.99	2210
ENSG00000042493_CAPG	223	58	260	91	189	63
ENSG00000042753_AP2S1	1780	1964	1849	1882	1558	2174
ENSG00000042781_USH2A	4	1	3	0	0	1
ENSG00000042813_ZPBP	0	0	0	0	0	0
ENSG00000042832_TG	15	3	12	11	11	6
ENSG00000042980_ADAM28	0	5	1	1	2	6
ENSG00000043039_BARX2	2	0	1	2	0	2
ENSG00000043093_DCUN1D1	946	782	811	800	728	926
ENSG00000043143_JADE2	2073	3075	1961	2860	1386	3278
ENSG00000043355_ZIC2	170	218	161	203	103	286
ENSG00000043462_LCP2	1	2	0	0	0	1
ENSG00000043514_TRIT1	660	871	668	779	751	1089
ENSG00000043591_ADRB1	6	9	5	10	9	11
ENSG00000044012_GUCA2B	0	0	0	0	0	0
ENSG00000044090_CUL7	814	535	739	505	604	553
ENSG00000044115_CTNNA1	10407	9528	9902	9104	8853	11287
ENSG00000044446_PHKA2	603	570	791	652	486.5	704
ENSG00000044459_CNTLN	223	329	172	233	166	343
ENSG00000044524_EPHA3	222	16	144	28	270	44
ENSG00000044574_HSPA5	14355	16559	21270	25297	11818	22265
ENSG00000046604_DSG2	5918.06	5726.12	5890.71	5330.61	4614.8	6646.29
ENSG00000046647_GEMIN8	235	252	168	133	212	214
ENSG00000046651_OFD1	835	929	1036	994	767	1114
ENSG00000046653_GPM6B	601	813	470	506	358	838
ENSG00000046774_MAGEC2	291	8	217	5	205	11
ENSG00000046889_PREX2	0	0	0	0	0	0
ENSG00000047056_WDR37	270	317	344	326	198	320
ENSG00000047188_YTHDC2	1393	971	1145.01	927	1088	1215
ENSG00000047230_CTPS2	461	361	358	221	227	355
ENSG00000047249_ATP6V1H	547	529	622	588	385	663
ENSG00000047315_POLR2B	3534.48	3968.63	3579.98	3635.69	2131.28	4332.92
ENSG00000047346_FAM214A	94	69	83	70	42	73
ENSG00000047365_ARAP2	85	200	94	146	122	259
ENSG00000047410_TPR	5694.99	5514.46	6104	5434	4713	6183
ENSG00000047457_CP	5.06	4.04	9.19	0	5.02	1.03
ENSG00000047578_KIAA0556	450	490.93	518	756	406.96	693.96
ENSG00000047579_DTNBP1	277	583	198	473	291	718
ENSG00000047597_XK	16	14	16	8	9	16
ENSG00000047617_ANO2	0	0	0	1	5	0
ENSG00000047621_C12orf4	620	462	501	368.29	496.1	596
ENSG00000047634_SCML1	622	422	730	521	638	662
ENSG00000047644_WWC3	1098	1119	944	959	931	1117
ENSG00000047648_ARHGAP6	9	1	7	0	2	0
ENSG00000047662_FAM184B	0	0	0	0	0	0
ENSG00000047849_MAP4	13715	10735	12782	11100	10793	13141
ENSG00000047932_GOPC	2529.41	1320	1914	1277	2279	1679
ENSG00000047936_ROS1	3297.07	361	2548	291	2351	420
ENSG00000048028_USP28	925	666	651	471	567	638
ENSG00000048052_HDAC9	106	104	122	145	170	225
ENSG00000048140_TSPAN17	745	925	830	980	538	944
ENSG00000048162_NOP16	1580.12	2149.02	1702.91	2152.99	1500.86	2687.88
ENSG00000048342_CC2D2A	459.7	679.83	483.84	624.51	341.99	740
ENSG00000048392_RRM2B	655	643	562	603	557	775
ENSG00000048405_ZNF800	597	574	618	690	578	743
ENSG00000048462_TNFRSF17	0	1	0	0	0	0
ENSG00000048471_SNX29	275.99	203.05	223.88	198.05	170.23	199
ENSG00000048540_LMO3	2	0	0	0	0	1
ENSG00000048544_MRPS10	1649	2303	1428	2138	1432	2711
ENSG00000048545_GUCA1A	0	0	0	0	0	0
ENSG00000048649_RSF1	1355.07	1590.61	1222.58	1576.06	1300.42	1784.09
ENSG00000048707_VPS13D	1220	1150	1145	1454	909	1407
ENSG00000048740_CELF2	0	1	1	2	0	1
ENSG00000048828_FAM120A	7195.88	9215.59	6863.93	8824.67	6691.91	10617.57
ENSG00000048991_R3HDM1	2287	1744	1793	1218	1696	1981
ENSG00000049089_COL9A2	0	1	2	0	0	0
ENSG00000049130_KITLG	463	38	357	17	282	45
ENSG00000049167_ERCC8	518.78	502.04	534.94	490.29	459.87	645.33
ENSG00000049192_ADAMTS6	887	163	1156	302	1649	369
ENSG00000049239_H6PD	516	526	720	777	619	757
ENSG00000049245_VAMP3	1166	902	1254	1074	757	1097
ENSG00000049246_PER3	28	14	123	50	37	31
ENSG00000049247_UTS2	0	0	0	0	0	0
ENSG00000049249_TNFRSF9	83.03	71.98	52.02	41.85	139	65
ENSG00000049283_EPN3	1	2	0	1	0	1
ENSG00000049323_LTBP1	86	33	88	26	65	21
ENSG00000049449_RCN1	11765.92	8457.29	9787.84	7243.71	7763.32	9564.95
ENSG00000049540_ELN	1	64	8	22	2	49
ENSG00000049541_RFC2	1529.99	1707.05	1230.01	1026	1111.11	1749.98
ENSG00000049618_ARID1B	1652	1540	1495	1482	1639	1814
ENSG00000049656_CLPTM1L	5734	6117	6311	5389	4669	6655
ENSG00000049759_NEDD4L	759	1415	700	1435	950	1837
ENSG00000049768_FOXP3	0	2	2	4	2	5
ENSG00000049769_PPP1R3F	43	53	33	75	36	52
ENSG00000049860_HEXB	2999.53	2376.03	2651.32	1660.09	1936.49	2710.37
ENSG00000049883_PTCD2	1309	1346	1272	1169	1249	1604
ENSG00000050030_KIAA2022	0	0	0	0	0	0
ENSG00000050130_JKAMP	813.82	640.69	941.06	678.98	557.01	765.77
ENSG00000050165_DKK3	5646	3899	5055	1805	4501	4529
ENSG00000050327_ARHGEF5	370.35	814.64	320.43	702.09	340.96	936.98
ENSG00000050344_NFE2L3	98	248	120	202.98	65	267.33
ENSG00000050393_MCUR1	940.02	1149.02	944.41	1039	679	1254.95
ENSG00000050405_LIMA1	4014	5910	3203	4504	3344	8182
ENSG00000050426_LETMD1	1052	1160.97	1064.03	1053	896	1298
ENSG00000050438_SLC4A8	34.19	16.89	35.12	20.86	19.18	15.17
ENSG00000050555_LAMC3	8	2	10	0	4	6
ENSG00000050628_PTGER3	0	1	0	0	0	0
ENSG00000050730_TNIP3	101	233	66	203	127	249
ENSG00000050748_MAPK9	1581.16	1389.93	1310.79	1157	1091	1528.01
ENSG00000050767_COL23A1	1	1	3	1	3	1
ENSG00000050820_BCAR1	838.57	1861.76	751.36	1304.6	829.82	1969.28
ENSG00000051009_FAM160A2	624	866	674	927	563	939
ENSG00000051108_HERPUD1	2843	2591.75	2601	2537	3095	3450
ENSG00000051128_HOMER3	424	491.51	379.47	351.45	400	539.68
ENSG00000051180_RAD51	637	406	524	235	341	445
ENSG00000051341_POLQ	1012	793	980	573	570	840
ENSG00000051382_PIK3CB	1315	1147	1164	976	830	1167
ENSG00000051523_CYBA	54	152	68	148	41	164
ENSG00000051596_THOC3	1237.67	1254.83	927.35	591.48	590.1	1148.03
ENSG00000051620_HEBP2	624	403	656	429	614	497
ENSG00000051825_MPHOSPH9	1001.91	949.31	836.79	734.34	641.12	1033.75
ENSG00000052126_PLEKHA5	201	187	149	146	144	175
ENSG00000052344_PRSS8	0	2	0	1	1	0
ENSG00000052723_SIKE1	995	913	952	886	775	1074
ENSG00000052749_RRP12	2989.51	4566.7	3378.81	5413.01	3795.9	6295.39
ENSG00000052795_FNIP2	289	250	259	316	207	293
ENSG00000052802_MSMO1	1028	565	557	316	222.99	448
ENSG00000052841_TTC17	2240	2241	2692	2337	2097	2579
ENSG00000052850_ALX4	3	0	5	0	0	1
ENSG00000053108_FSTL4	2	2	2	2	2	2
ENSG00000053254_FOXN3	1406.12	688.22	1318.97	723.14	1268.86	906.72
ENSG00000053328_METTL24	0	0	0	0	0	0
ENSG00000053371_AKR7A2	1073	1206	911	843	832	1275
ENSG00000053372_MRTO4	2901	3941	3005	3884	2809	4959
ENSG00000053438_NNAT	5	27	9	18	4	16
ENSG00000053501_USE1	255	244	253.01	192	180	264.97
ENSG00000053524_MCF2L2	53	98.62	74.77	167.01	67	122.97
ENSG00000053702_NRIP2	28	18	25	13	19	21
ENSG00000053747_LAMA3	1032	1020	822	634	632	956
ENSG00000053770_AP5M1	654	522	601	435	387	504
ENSG00000053900_ANAPC4	694	784	700	541	524	774
ENSG00000053918_KCNQ1	0	0	0	0	0	1
ENSG00000054116_TRAPPC3	1132	1320	999	1072	750	1278
ENSG00000054118_THRAP3	4532.54	4852.05	4445.9	4961.9	3678.85	5976
ENSG00000054148_PHPT1	613	1301	695	1267	682	1405
ENSG00000054179_ENTPD2	4	1	6	3	3	2
ENSG00000054219_LY75	1.84	2	10.01	3.2	3.14	0
ENSG00000054267_ARID4B	966.79	969.34	832	999.32	850.29	1074.73
ENSG00000054277_OPN3	810.33	327	611.24	194.24	285.15	237.37
ENSG00000054282_SDCCAG8	485.85	751	356.37	728.51	549.92	1004.7
ENSG00000054356_PTPRN	0	0	0	0	0	0
ENSG00000054392_HHAT	18	19	16	6	16	21
ENSG00000054523_KIF1B	2751.08	1746.78	2124.43	1700.51	1973.88	1946.94
ENSG00000054598_FOXC1	278	237	255	316	316	332
ENSG00000054611_TBC1D22A	347	321	338	349	348	440
ENSG00000054654_SYNE2	10499.51	4446.98	8657.72	5099.12	6144.63	4312.01
ENSG00000054690_PLEKHH1	94.09	173.31	92.26	158.2	63.19	156.6
ENSG00000054793_ATP9A	735	881	1096	1252	867	1223
ENSG00000054796_SPO11	0	0	0	0	0	0
ENSG00000054803_CBLN4	0	0	0	0	0	0
ENSG00000054938_CHRDL2	0	0	0	0	0	0
ENSG00000054965_FAM168A	1362	961	1140	893	840	884
ENSG00000054967_RELT	320.83	514	388.92	387.46	267.77	501.95
ENSG00000054983_GALC	60	0	70	0	33	1
ENSG00000055044_NOP58	3887	4099	3882	3303	4018	5140
ENSG00000055070_SZRD1	3370	4086	3525	3617	2608	4480
ENSG00000055118_KCNH2	116	4	157	7	87	4
ENSG00000055130_CUL1	2664	2735.2	2490	2320	1835	2800.48
ENSG00000055147_FAM114A2	620	576	625	536	492	675
ENSG00000055163_CYFIP2	486	101	588	111	381	116
ENSG00000055208_TAB2	2409	2141	1830	2089	2348	2581
ENSG00000055211_GINM1	902	551	889	498	533	601
ENSG00000055332_EIF2AK2	1647.04	1310.11	1527.01	975.08	1204.02	1363.05
ENSG00000055483_USP36	2732	4147	3175	4618	4000	6097
ENSG00000055609_KMT2C	1738	1356.67	1634.02	1666.72	1362.89	1548.81
ENSG00000055732_MCOLN3	0	0	2	0	0	0
ENSG00000055813_CCDC85A	1.86	0	3	0	4	0
ENSG00000055917_PUM2	2564	2033	2692	2132	2160	2355
ENSG00000055950_MRPL43	476	689	482	576	423	704
ENSG00000055955_ITIH4	13.61	9.77	12.19	4.42	2	4.25
ENSG00000055957_ITIH1	0	0	0	0	0	0
ENSG00000056050_C4orf27	520	549	439	355	285	556
ENSG00000056097_ZFR	5002	4701	4740	5078	5414	6410
ENSG00000056277_ZNF280C	362	334	239	250	320	395
ENSG00000056291_NPFFR2	0	0	1	0	0	0
ENSG00000056487_PHF21B	0	0	9	0	5	0
ENSG00000056558_TRAF1	76	57	45	36	173	96
ENSG00000056586_RC3H2	1857	2524	1758	2604	1792	2986
ENSG00000056736_IL17RB	24	21	19	19	8	30
ENSG00000056972_TRAF3IP2	994.01	1114	752.64	1113	1041.97	1481.11
ENSG00000056998_GYG2	1	0	2	2	1	0
ENSG00000057019_DCBLD2	1152	668	1155.83	782	804	780
ENSG00000057149_SERPINB3	3	0	2	0	1	0
ENSG00000057252_SOAT1	1623	1175	1478.08	1003	1089	1293.02
ENSG00000057294_PKP2	24	344	15	305	9	488
ENSG00000057468_MSH4	3	3	6	3	2	2
ENSG00000057593_F7	0	0	0	0	0	0
ENSG00000057608_GDI2	6459	5248	4935	3684	3768	5280
ENSG00000057657_PRDM1	189	27	76	24	175	22
ENSG00000057663_ATG5	1247	832	949	473	917	786
ENSG00000057704_TMCC3	0	1	0	0	0	0
ENSG00000057757_PITHD1	1127	1479	1139	1218	804	1594
ENSG00000057935_MTA3	628	580	521	450	538	672
ENSG00000058056_USP13	775	620	613	434	560	686
ENSG00000058063_ATP11B	2374.67	1535.22	2263.75	1532	1937.6	1788
ENSG00000058085_LAMC2	175	476	175.78	586	246	698
ENSG00000058091_CDK14	858	273	613	193	601	360
ENSG00000058262_SEC61A1	10518.05	11195.43	13208.74	12896.95	8459.5	13066.05
ENSG00000058272_PPP1R12A	1861.51	1272.75	1605.72	1294.27	1496.77	1588.36
ENSG00000058335_RASGRF1	0	0	1	1	1	2
ENSG00000058404_CAMK2B	5	7	2	3	2	12
ENSG00000058453_CROCC	243.64	296	286.01	244.71	246	251.38
ENSG00000058600_POLR3E	2058	2707	1892	2145	1780	2962
ENSG00000058668_ATP2B4	3871	2191	3053	1841	1829	2022
ENSG00000058673_ZC3H11A	3616.24	3516.11	3566.91	4219.36	2614.91	4071.32
ENSG00000058729_RIOK2	1040	1186	878	1244	874	1354
ENSG00000058799_YIPF1	543	419	392	384	353	403
ENSG00000058804_NDC1	2712	2071	2399	1277	1615	2159
ENSG00000058866_DGKG	82	103	68	96	28	86
ENSG00000059122_FLYWCH1	926	1665	1146	1451	1229	1836
ENSG00000059145_UNKL	285.24	354.36	382.74	366.87	211.83	378.28
ENSG00000059377_TBXAS1	122	156	155	116	106	118
ENSG00000059378_PARP12	1126	1285	1014	905	997	1481
ENSG00000059573_ALDH18A1	4262	5252	4124	4261	3108	5970
ENSG00000059588_TARBP1	1005	851	996	782	641	880
ENSG00000059691_GATB	453.03	751.66	414.05	584.58	267	742.27
ENSG00000059728_MXD1	879.87	1039.71	620	1433.65	1340.31	1503.05
ENSG00000059758_CDK17	851	848	785	954	1043	1221
ENSG00000059769_DNAJC25	268	308	301	342	274	492
ENSG00000059804_SLC2A3	1189.21	149	770.18	190	792.11	132
ENSG00000059915_PSD	6.24	4.9	9.32	19.29	8.42	7.13
ENSG00000060069_CTDP1	398	438	421	414	306	455
ENSG00000060138_YBX3	6882.24	8834	7600.02	8627	6891	10668.08
ENSG00000060140_STYK1	1	3	2	3	1	4
ENSG00000060237_WNK1	5803	5523	5177	5523	5220	6308
ENSG00000060303_RPS17P5	0	0	0	0	0	0
ENSG00000060339_CCAR1	3264.63	3460.06	3442.13	3465.99	2668.08	4146.97
ENSG00000060491_OGFR	788	1216	952	954	764	1344
ENSG00000060558_GNA15	794	1804	550	839	791	1588
ENSG00000060566_CREB3L3	2	1	0	0	0	0
ENSG00000060642_PIGV	499	657	404	509	377	639
ENSG00000060656_PTPRU	1259	2398	1341	1771	961	2193
ENSG00000060688_SNRNP40	2006	1874	1864	1923	1521	2169
ENSG00000060709_RIMBP2	1	0	0	0	3	0
ENSG00000060718_COL11A1	0	0	0	0	0	1
ENSG00000060749_QSER1	2242	2257	2225	2276	1888	2618
ENSG00000060762_MPC1	552	465	476	396	425	505
ENSG00000060971_ACAA1	927	1138.8	770.48	774	630.19	1120
ENSG00000060982_BCAT1	3690	3118	3488	2588	3911	4120
ENSG00000061273_HDAC7	2701.45	2969.7	2380.95	2190.68	2630.8	3102.28
ENSG00000061337_LZTS1	1	0	2	0	3	0
ENSG00000061455_PRDM6	3	9	1	6	1	9
ENSG00000061492_WNT8A	0	0	0	0	0	0
ENSG00000061656_SPAG4	60	60	63	54	48	56
ENSG00000061676_NCKAP1	5653	3355.16	5082.07	2889.73	4666	3928.7
ENSG00000061794_MRPS35	1764	2062	1511	1539	1472	2297
ENSG00000061918_GUCY1B3	8	0	3	0	2	0
ENSG00000061936_SFSWAP	1177	1311	1480	1437	1113	1470
ENSG00000061938_TNK2	571.95	1003.98	700	885.97	555.98	1100
ENSG00000061987_MON2	1105	841	1137	912	997	1117
ENSG00000062038_CDH3	0	67	1	30	4	67.09
ENSG00000062096_ARSF	0	0	0	0	0	0
ENSG00000062194_GPBP1	2633	2566	2285	2469	2049	2979
ENSG00000062282_DGAT2	158	189	172	184	172	159
ENSG00000062370_ZNF112	174	170	163	165	153	177
ENSG00000062485_CS	8357.21	8527.08	7481.63	6913.67	6197.52	9380.19
ENSG00000062524_LTK	4	1	13	4	3	3
ENSG00000062582_MRPS24	1159	1274	1207	1360	1061.22	1455
ENSG00000062598_ELMO2	774	717	609	535	358	618
ENSG00000062650_WAPL	2220	2272	2135	2440	2082	2878
ENSG00000062716_VMP1	1969	1385	1839	1357	1476	1541
ENSG00000062725_APPBP2	820	751	621	621	555	679
ENSG00000062822_POLD1	838	1023	913	681	645	923
ENSG00000063015_SEZ6	0	0	1	0	1	0
ENSG00000063046_EIF4B	20383.97	21306.84	17092.22	18805.05	16150.73	24098.35
ENSG00000063127_SLC6A16	0	5	9	4	0	1
ENSG00000063169_GLTSCR1	144	194	146	141	122	170
ENSG00000063176_SPHK2	155.92	150.4	137.31	145.76	161.18	200
ENSG00000063177_RPL18	8547	9832.98	10159	11329	8268	11259
ENSG00000063180_CA11	66	70	116	87	29	86
ENSG00000063241_ISOC2	285	459	339	430	230	526
ENSG00000063244_U2AF2	4484	5703	4539	5256	3675	6459
ENSG00000063245_EPN1	1220.38	1298.36	1219.99	1200.92	1031.29	1469.03
ENSG00000063322_MED29	626.43	680	717.99	802.84	614.17	808.73
ENSG00000063438_AHRR	387	175	460	272	352	272
ENSG00000063515_GSC2	0	0	0	0	0	0
ENSG00000063587_ZNF275	572	631	555	617	523	780
ENSG00000063601_MTMR1	981	1250	952	1003	725	1453
ENSG00000063660_GPC1	2456	2257	2994	1186	1729	2019
ENSG00000063761_ADCK1	187	215	210	231	196	263
ENSG00000063854_HAGH	502	567	467	555	365	612
ENSG00000063978_RNF4	1705	2437	1717	2481	1496	3033
ENSG00000064012_CASP8	1747.12	1659	1605.98	1555.07	1292.97	1813
ENSG00000064042_LIMCH1	5313	4528	4073	3076	4504	5456
ENSG00000064102_ASUN	2021	1992	1446	1214	1485	2139
ENSG00000064115_TM7SF3	1333	1151	1120	672	756	1099
ENSG00000064195_DLX3	2	4	1	1	0	1
ENSG00000064199_SPA17	184	188	141	192	81	192
ENSG00000064201_TSPAN32	0	1	2	0	1	0
ENSG00000064205_WISP2	76	12	42	3	36	11
ENSG00000064218_DMRT3	0	0	0	0	0	0
ENSG00000064225_ST3GAL6	448.34	426.96	304	201	215.65	369
ENSG00000064270_ATP2C2	2.54	11.03	1.28	6.3	2.42	11.51
ENSG00000064300_NGFR	28	530.95	28	175	15	377
ENSG00000064309_CDON	167.87	71.2	130.65	49.74	41.64	52.24
ENSG00000064313_TAF2	1270	830	1327	778	1044	947
